Bedrijfsnaam;Contactpersoon;Straatnaam;Huisnummer;Huisletter;Huistoevoeging;Postcode;Plaatsnaam
2theloo Holding B.V.;P. Puk;Bankierbaan 248 A;;;;2801 AB;Gouda
ABNAMRO Bank NV;J. de Wolf;Bankierbaan 48;;;;2802 BC;Gouda
Alliantie Stichting De;I. van Kesteren-blankevoort;Belfort 12;;;;2807 DE;Gouda
Specsavers BV;B. van Boven;Belfort 130;;;;2803 ZF;Gouda
ALPHA Advocaten;H.G.M. Bakker;Belfort 132;;;;2804 LK;Gouda
America Today;S. Mistdeboot;Belfort 136;;;;2805 HJ;Gouda
Appolo Hotel;P. Puk;Belfort 14;;;;2802 AB;Gouda
De koe Slagerijen B.V.;J. de Wolf;Belfort 140 B;;;;2803 BC;Gouda
Asli Indonesia;I. van Kesteren-blankevoort;Belfort 142;;;;2808 DE;Gouda
Aurea Administratie;B. van Boven;Belfort 16;;;;2804 ZF;Gouda
B. Happy BV;H.G.M. Bakker;Belfort 17;;;;2805 LK;Gouda
Bagels & Beans V.o.f.;S. Mistdeboot;Belfort 2;;;;2806 HJ;Gouda
Bakkerij Soussie;P. Puk;Belfort 5;;;;2803 AB;Gouda
Mango;J. de Wolf;Belfort 6;;;;2804 BC;Gouda
Banket Bakkerij Het taartje;I. van Kesteren-blankevoort;Belfort 8;;;;2809 DE;Gouda
Bar-Eetcafe Den Enghel;B. van Boven;Belfort 9;;;;2805 ZF;Gouda
Basic Fit International  B.V.;H.G.M. Bakker;Blekerstraat 4;;;;2806 LK;Gouda
Bershka Nederland BV;S. Mistdeboot;Bordes 3;;;;2807 HJ;Gouda
Bever BV;P. Puk;Bordes 4;;;;2804 AB;Gouda
Bijou Brigitte Modische Accesoires;J. de Wolf;Bordes 5;;;;2805 BC;Gouda
Bioscoop kinepolis;I. van Kesteren-blankevoort;Bottelaarpassage 1;;;;2810 DE;Gouda
Blokker;B. van Boven;Bottelaarpassage 102;;;;2806 ZF;Gouda
Restaurant de beren;H.G.M. Bakker;Bottelaarpassage 16;;;;2807 LK;Gouda
Boekenvoordeel;S. Mistdeboot;Bottelaarpassage 2;;;;2808 HJ;Gouda
Bontehond;P. Puk;Bottelaarpassage 4;;;;2805 AB;Gouda
Brasserie La Maison;J. de Wolf;Bottelaarpassage 89;;;;2806 BC;Gouda
Brasserij De Bergerrie VOF;I. van Kesteren-blankevoort;Brouwerstraat 10;;;;2811 DE;Gouda
Bricks BV;B. van Boven;Brouwerstraat 3;;;;2807 ZF;Gouda
Brood- en Banketbakkerij Döner Center;H.G.M. Bakker;Brouwerstraat 4;;;;2808 LK;Gouda
Bruna;S. Mistdeboot;Brouwerstraat 8;;;;2809 HJ;Gouda
Catwalk Boutique;P. Puk;Citadel 12;;;;2806 AB;Gouda
Chez Alexander;J. de Wolf;Citadel 13;;;;2807 BC;Gouda
Coco Nails&Spa;I. van Kesteren-blankevoort;Citadel 14;;;;2812 DE;Gouda
Cool Cat Fashion;B. van Boven;Citadel 16;;;;2808 ZF;Gouda
Daily Style Warenhuizen B.V.;H.G.M. Bakker;Citadel 20;;;;2809 LK;Gouda
DaRocks;S. Mistdeboot;Citadel 21;;;;2810 HJ;Gouda
De Lean Kleermaker;P. Puk;Citadel 22;;;;2807 AB;Gouda
Didi Fashion BV;J. de Wolf;Citadel 27;;;;2808 BC;Gouda
Koffie/Thee Speciaalzaak Het kopje koffie;I. van Kesteren-blankevoort;Citadel 31;;;;2813 DE;Gouda
Droomstoffen;B. van Boven;Citadel 36;;;;2809 ZF;Gouda
Eetcafe Luxor;H.G.M. Bakker;Citadel 7;;;;2810 LK;Gouda
Ekoplaza;S. Mistdeboot;Citadel 9;;;;2811 HJ;Gouda
Etos BV;P. Puk;Citadel 91;;;;2808 AB;Gouda
Eye Wish Groeneveld;J. de Wolf;Citadel 93;;;;2809 BC;Gouda
Facilitair bedrijf de regelaar;I. van Kesteren-blankevoort;Citadel 94;;;;2814 DE;Gouda
Fair Play Centers;B. van Boven;Citadel 95;;;;2810 ZF;Gouda
Fashionmarkt B.V.;H.G.M. Bakker;De Corridor 5;;;;2811 LK;Gouda
Febo;S. Mistdeboot;De Corridor 6;;;;2812 HJ;Gouda
Fit for Free;P. Puk;De Corridor 8;;;;2809 AB;Gouda
Orthopedie BV;J. de Wolf;De Corridor 9;;;;2810 BC;Gouda
Foot Locker Ned. bv;I. van Kesteren-blankevoort;De Diagonaal 10;;;;2815 DE;Gouda
Gents BV;B. van Boven;De Diagonaal 17;;;;2811 ZF;Gouda
Gerry Weber;H.G.M. Bakker;De Diagonaal 18;;;;2812 LK;Gouda
Grandcafe Le Baron;S. Mistdeboot;De Diagonaal 187;;;;2813 HJ;Gouda
Guess Europa BV;P. Puk;De Diagonaal 189;;;;2810 AB;Gouda
Haarstudio de gouden schaar;J. de Wolf;De Diagonaal 19;;;;2811 BC;Gouda
Haarstudio KnipCompany;I. van Kesteren-blankevoort;De Diagonaal 191;;;;2816 DE;Gouda
Hans Anders Nederland;B. van Boven;De Diagonaal 193;;;;2812 ZF;Gouda
Hard Bitten And The Others;H.G.M. Bakker;De Diagonaal 195;;;;2813 LK;Gouda
Hema;S. Mistdeboot;De Diagonaal 197;;;;2814 HJ;Gouda
Hennes & Mauritz BV;P. Puk;De Diagonaal 199;;;;2811 AB;Gouda
Het Beeldverhaal;J. de Wolf;De Diagonaal 22;;;;2812 BC;Gouda
Het Broodcafe;I. van Kesteren-blankevoort;De Diagonaal 23;;;;2817 DE;Gouda
Hi-Fi Klubben Netherlands B.V.;B. van Boven;De Diagonaal 26;;;;2813 ZF;Gouda
Hudson B.V.;H.G.M. Bakker;De Diagonaal 27;;;;2814 LK;Gouda
Humanitas;S. Mistdeboot;De Diagonaal 3;;;;2815 HJ;Gouda
Hunkemoller;P. Puk;De Diagonaal 30;;;;2812 AB;Gouda
ICentre BV;J. de Wolf;De Diagonaal 32;;;;2813 BC;Gouda
IJssalon het lekkere ijsje;I. van Kesteren-blankevoort;De Diagonaal 33;;;;2818 DE;Gouda
Innovation Data Processing;B. van Boven;De Diagonaal 34;;;;2814 ZF;Gouda
Intertoys;H.G.M. Bakker;De Diagonaal 37;;;;2815 LK;Gouda
Jack & Jones;S. Mistdeboot;De Diagonaal 38;;;;2816 HJ;Gouda
JD Sports Fashion B.V.;P. Puk;De Diagonaal 4;;;;2813 AB;Gouda
Just a Joke;J. de Wolf;De Diagonaal 40;;;;2814 BC;Gouda
Just Retail B.V.;I. van Kesteren-blankevoort;De Steiger 221;;;;2819 DE;Gouda
Kediri;B. van Boven;Donjon 1;;;;2815 ZF;Gouda
Kerkcentrum 'De goede heer';H.G.M. Bakker;Donjon 7;;;;2816 LK;Gouda
Kick b.v.;S. Mistdeboot;Donjon 9;;;;2817 HJ;Gouda
Kids eiland B.V.;P. Puk;Esplanade 10;;;;2814 AB;Gouda
Kimono B.V.;J. de Wolf;Flevostraat 44;;;;2815 BC;Gouda
King of the Ribs b.v.;I. van Kesteren-blankevoort;Forum 1;;;;2820 DE;Gouda
Klepierre Management Nederland BV;B. van Boven;Forum 101;;;;2816 ZF;Gouda
KPN Telecom/Primafoon winkel;H.G.M. Bakker;Forum 14;;;;2817 LK;Gouda
Leapp Group International BV;S. Mistdeboot;Forum 18;;;;2818 HJ;Gouda
Letzion S4 BV;P. Puk;Forum 2;;;;2815 AB;Gouda
Lifestyle Salon;J. de Wolf;Forum 20;;;;2816 BC;Gouda
Mandana V.O.F.;I. van Kesteren-blankevoort;Forum 4;;;;2821 DE;Gouda
Manfield BV;B. van Boven;Forum 7;;;;2817 ZF;Gouda
Media Markt;H.G.M. Bakker;Forum 9;;;;2818 LK;Gouda
Mekus Import - Export;S. Mistdeboot;Grote Markt 125;;;;2819 HJ;Gouda
Miss Etam Operations B.V.;P. Puk;Grote Markt 183;;;;2816 AB;Gouda
Mobiel Centre marktonderzoek B.V.;J. de Wolf;Grote Markt 2;;;;2817 BC;Gouda
Moccamore;I. van Kesteren-blankevoort;Grote Markt 38;;;;2822 DE;Gouda
Multi Versshop VOF;B. van Boven;Grote Markt 42;;;;2818 ZF;Gouda
Multivlaai Retail B.V.;H.G.M. Bakker;Grote Markt 6;;;;2819 LK;Gouda
Nedgame BV;S. Mistdeboot;Hospitaaldreef 5;;;;2820 HJ;Gouda
New Yorker;P. Puk;Klokkeluiderstraat 10;;;;2817 AB;Gouda
Omnibus Adviesgroep BV;J. de Wolf;Klokkeluiderstraat 49;;;;2818 BC;Gouda
Optical Retail Group BV Het Huis, uw opticien;I. van Kesteren-blankevoort;Koetsierbaan 2;;;;2823 DE;Gouda
Pandora Jewelry BV;B. van Boven;Koetsierbaan 315;;;;2819 ZF;Gouda
Parfumerie Douglas;H.G.M. Bakker;Korte Promenade 2;;;;2820 LK;Gouda
Pearle Opticiens;S. Mistdeboot;Korte Promenade 6;;;;2821 HJ;Gouda
Perry Sport BV;P. Puk;Korte Promenade 73;;;;2818 AB;Gouda
PicturePeople BV;J. de Wolf;Kruierstraat 2;;;;2819 BC;Gouda
Pijloo&Kellerman Bv;I. van Kesteren-blankevoort;Landdrostdreef 100;;;;2824 DE;Gouda
Platenhuis de speelplaat V.o.f.;B. van Boven;Metropolestraat 23;;;;2820 ZF;Gouda
De mooie tand Tandprotheticus;H.G.M. Bakker;Muntmeesterhof 9997 P IIII II;;;;2821 LK;Gouda
Portare Retail B.V.;S. Mistdeboot;Olstgracht 19;;;;2822 HJ;Gouda
Praktijk voor Tandheelkunde;P. Puk;Olstgracht 61;;;;2819 AB;Gouda
Proeflokaal BV;J. de Wolf;Olstgracht 95;;;;2820 BC;Gouda
Rabobank;I. van Kesteren-blankevoort;Schipperplein 4;;;;2825 DE;Gouda
Rituals;B. van Boven;Schrijverstraat 7;;;;2821 ZF;Gouda
Riviera Maison B.V.;H.G.M. Bakker;Schutterstraat 1;;;;2822 LK;Gouda
Runnershigh;S. Mistdeboot;Schutterstraat 10;;;;2823 HJ;Gouda
Sacha Shoes;P. Puk;Schutterstraat 11;;;;2820 AB;Gouda
Scapino;J. de Wolf;Schutterstraat 12;;;;2821 BC;Gouda
Schep Banketbakkerij;I. van Kesteren-blankevoort;Schutterstraat 14;;;;2826 DE;Gouda
Schoonenberg Hoortoestellen;B. van Boven;Schutterstraat 15;;;;2822 ZF;Gouda
Schouwburg;H.G.M. Bakker;Schutterstraat 16;;;;2823 LK;Gouda
Score Retail Nederland B.V.;S. Mistdeboot;Schutterstraat 18 A;;;;2824 HJ;Gouda
Siebel Juweliers B.V.;P. Puk;Schutterstraat 2;;;;2821 AB;Gouda
Siempre;J. de Wolf;Schutterstraat 20;;;;2822 BC;Gouda
Six Shop;I. van Kesteren-blankevoort;Schutterstraat 21;;;;2827 DE;Gouda
Sizzling;B. van Boven;Schutterstraat 23;;;;2823 ZF;Gouda
Smulwereld;H.G.M. Bakker;Schutterstraat 27;;;;2824 LK;Gouda
Snackline Cappadocia VOF;S. Mistdeboot;Schutterstraat 3;;;;2825 HJ;Gouda
SPORT 2000 Sportpaleis;P. Puk;Schutterstraat 34;;;;2822 AB;Gouda
SRS-Company B.V.;J. de Wolf;Schutterstraat 4;;;;2823 BC;Gouda
Steps Nederland BV;I. van Kesteren-blankevoort;Schutterstraat 46;;;;2828 DE;Gouda
Stichting De goede hoop;B. van Boven;Schutterstraat 5;;;;2824 ZF;Gouda
Stichting Openbare Bibliotheek;H.G.M. Bakker;Spoordreef 62;;;;2825 LK;Gouda
De gouden ring Juweliers;S. Mistdeboot;Stadhuisplein 1;;;;2826 HJ;Gouda
Studiekring;P. Puk;Stadhuisplein 101;;;;2823 AB;Gouda
Stumpel B.V.;J. de Wolf;Stadhuisplein 2;;;;2824 BC;Gouda
Superstar BV;I. van Kesteren-blankevoort;Stadhuisplein 40;;;;2829 DE;Gouda
Team Kappers;B. van Boven;Stadhuisplein 91;;;;2825 ZF;Gouda
Telephone-Zone;H.G.M. Bakker;Stadhuisplein 92;;;;2826 LK;Gouda
Thai Go;S. Mistdeboot;Stadhuisplein 9999;;;;2827 HJ;Gouda
The Body Shop;P. Puk;Stadhuispromenade 1;;;;2824 AB;Gouda
The Society Shop B.V.;J. de Wolf;Stadhuisstraat 2;;;;2825 BC;Gouda
The Sting;I. van Kesteren-blankevoort;Stadhuisstraat 4;;;;2830 DE;Gouda
T-Mobile;B. van Boven;Stadhuisstraat 6;;;;2826 ZF;Gouda
De juweel Juweliers V.o.f.;H.G.M. Bakker;Traverse 1;;;;2827 LK;Gouda
Triumph International BV;S. Mistdeboot;Traverse 1 A;;;;2828 HJ;Gouda
De harde werker Uitzendburo BV;P. Puk;Traverse 3;;;;2825 AB;Gouda
Ulla Popken;J. de Wolf;Traverse 4;;;;2826 BC;Gouda
Unibail-Rodamco Nederlands Winkels B.V.;I. van Kesteren-blankevoort;Traverse 5;;;;2831 DE;Gouda
UPC Nederland;B. van Boven;Traverse 8;;;;2827 ZF;Gouda
Urban Greeners;H.G.M. Bakker;Wagenmakerbaan 1;;;;2828 LK;Gouda
Vitaminstore B.V.;S. Mistdeboot;Zadelmakerstraat 49;;;;2829 HJ;Gouda
WE Nederlands B.V.;P. Puk;Zadelmakerstraat 57;;;;2826 AB;Gouda
Windesheim;J. de Wolf;Zoetelaarpassage 18;;;;2827 BC;Gouda
Xenos;I. van Kesteren-blankevoort;Zoetelaarpassage 3;;;;2832 DE;Gouda
KFC - Kentuky Fried Chicken;B. van Boven;Zoetelaarpassage 40;;;;2828 ZF;Gouda
Zara Nederland;H.G.M. Bakker;Zoetelaarpassage 42;;;;2829 LK;Gouda
Ziengs schoenen BV;S. Mistdeboot;Zoetelaarpassage 46;;;;2830 HJ;Gouda
